Book ID,Title,Authors,Stars,Ratings,Reviews,Description,Cover
BOOK_PNORSIUF5R,A Midsummer's Equation,"Keigo Higashino, Alexander O. Smith, ",3.92,6472,859,"Manabu Yukawa, the physicist known as ""Detective Galileo,"" has traveled to Hari Cove, a once-popular summer resort town that has fallen on hard times. He is there to speak at a conference on a planned underwater mining operation, which has sharply divided the town. One faction is against the proposed operation, concerned about the environmental impact on the area, known for its pristine waters. The other faction, seeing no future in the town as it is, believes its only hope lies in the development project.The night after the tense panel discussion, one of the resort's guests is found dead on the seashore at the base of the local cliffs. The local police at first believe it was a simple accident-that he wandered over the edge while walking on unfamiliar territory in the middle of the night. But when they discover that the victim was a former policeman and that the cause of death was carbon monoxide poisoning, they begin to suspect he was murdered, and his body tossed off the cliff to misdirect the police.As the police try to uncover where Tsukahara was killed and why, Yukawa finds himself enmeshed in yet another confounding case of murder. In a series of twists as complex and surprising as any in Higashino's brilliant, critically acclaimed work, Galileo uncovers the hidden relationship behind the tragic events that led to this murder.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441224440l/23847971.jpg
BOOK_L820M2B1NO,白夜行 下,"Keigo Higashino, 東野圭吾, 劉姿君, ",4.57,496,24,Traditional Chinese first edition can be found HERE「在我們的頭上沒有太陽，一直都是夜晚，但是卻不覺得黑暗，因為有能代替太陽的人在。」他們為什麼如此輕易地抹煞別人的性命？他們為什麼毫無愧疚地奪取別人的靈魂？一九七三年，大阪的廢棄大樓發現了一具他殺屍體，被害者之子桐原亮司與嫌疑犯之女西本雪穗，就此走上截然不同的道路。桐原亮司拉皮條、盜賣電玩軟體、隱姓埋名竊取商業機密，不斷向下淪落；雪穗由親戚收養，就讀明星學校，成為同學豔羨的對象，儼如上流名媛。然而，兩人身邊的人卻紛紛遭遇不幸，甚至死於非命，這是命運無情的操弄，還是潛藏著駭人的真相？因為脆弱的純真受到傷害，所以必須捨棄而堅強，因為堅強，所以必須自過去、自記憶逃亡，從人間的律法道德，一直到狼狽不已、泯滅人性。,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341936865l/15745357.jpg
BOOK_FO21ZZH3IR,Silent Parade,"Keigo Higashino, Giles Murray, ",3.95,2298,407,"Detective Galileo, Keigo Higashino’s best loved character from The Devotion of Suspect X, returns in a complex and challenging mystery—several murders, decades apart, with no solid evidence.A popular young girl disappears without a trace, her skeletal remains discovered three years later in the ashes of a burned out house. There’s a suspect and compelling circumstantial evidence of his guilt, but no concrete proof. When he isn’t indicted, he returns to mock the girl’s family. And this isn’t the first time he’s been suspected of the murder of a young girl, nearly twenty years ago he was tried and released due to lack of evidence. Chief Inspector Kusanagi of the Homicide Division of the Tokyo Police worked both cases. The neighborhood in which the murdered girl lived is famous for an annual street festival, featuring a parade with entries from around Tokyo and Japan. During the parade, the suspected killer dies unexpectedly. His death is suspiciously convenient but the people with all the best motives have rock solid alibis. CI Kusanagi turns once again to his college friend, Physics professor and occasional police consultant Manabu Yukawa, known as Detective Galileo, to help solve the string of impossible to prove murders.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618689060l/56269004.jpg
BOOK_2B2G21DTC8,Ngôi Nhà Của Người Cá Say Ngủ,"Keigo Higashino, Đỗ Nguyên, ",3.76,777,168,"Tác phẩm kỉ niệm 30 năm cầm bút của Bậc thầy trinh thám số 1 Nhật Bản. Đồng thời được vinh danh trong top 10 sách văn học bán chạy nhất năm 2015 và 2016 theo thống kê từ NIPPAN.Nhà văn Keigo Higashino trở lại với một tác phẩm về tâm lý xã hội và y học đầy trăn trở và suy tư. Vẫn còn đó sự tò mò và hồi hộp nhưng lại thêm vào những diễn biến tâm lý xã hội sâu sắc về ranh giới giữa sự sống và cái chết. Câu chuyện xoay quanh một cặp vợ chồng dự định sẽ ly hôn sau khi cô con gái Mizuko vào cấp một. Nhưng tin dữ bất ngờ ập đến: một tai nạn bất ngờ không may đã xảy ra với cô bé ở bể bơi. Tuy nhiên, sự thật còn đau đớn hơn gấp bội khi đứa con gái duy nhất của họ đã chết não nhưng trái tim vẫn còn đập bởi một sức mạnh lạ kỳ.Chính vào giây phút dấu hiệu của sự sống đang lụi tàn dần, cha mẹ cô bé phải tiếp nhận một sự thật tàn khốc: có nên hiến tạng của cô bé hay không?Trái tim cô bé vẫn còn đang đập và những ràng buộc riêng trên mặt luật pháp đã không cho vị bác sĩ nào dám khẳng định cô bé đã tử vong. Họ buộc phải lựa chọn tiếp tục chăm sóc đứa con gái đã rơi vào trạng thái thực vật hay là buông tay, chấp nhận hiến tạng đứa con gái yêu duy nhất? Tất cả tạo nên một chuỗi những âu lo với bố mẹ cô bé: “Vậy kẻ hại chết con gái tôi sẽ là tôi sao?"". Đây không chỉ là những trăn trở về mặt luật pháp của cặp vợ chồng, mà nó còn nhen nhóm hi vọng mong manh rằng chỉ cần trái tim còn đập thì một ngày kia cô bé sẽ dần lấy lại ý thức. Nhà văn Keigo đã khéo léo gợi nhắc một khía cạnh nhức nhối không chỉ tồn tại trong xã hội Nhật Bản mà còn có giá trị hiện thực ở nhiều nơi trên thế giới về vấn đề hiến tạng. Cuốn sách còn giống như một lời gợi nhắc về tình cảm gia đình, về tấm lòng của những người làm cha làm mẹ dành cho những đứa con của mình. Gia đình là nơi không ngừng yêu thương và không bao giờ nói bỏ cuộc. Rõ ràng chỉ có yêu thương mới khiến người ta trăn trở đến thế, muốn cố gắng hết sức để cứu con gái yêu duy nhất. Giống như người cá vậy, cô bé Mizuko có một trái tim thật đẹp, những nhịp đập yếu ớt vẫn muốn gửi gắm đến cha mẹ tình yêu chưa một lần nói ra.Một lần nữa nhà văn Keigo Higashino lại khiến người đọc trăn trở trong từng câu văn, từng hình ảnh, từng cung bậc cảm xúc và để lại trong lòng độc giả câu hỏi day dứt: “Nếu bạn ở trong hoàn cảnh ấy, bạn sẽ lựa chọn ra sao?”. Và có lẽ đáp án lại tùy thuộc vào cách nghĩ của mỗi người.Nếu bạn từng bị mê hoặc bởi giọng văn “thần thánh” của nhà văn Keigo Higashino thì còn chần chừ gì nữa mà không sở hữu ngay một cuốn “Ngôi nhà của người cá say ngủ”? Chắc chắn bạn sẽ không hề thất vọng.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494094148l/35076744._SX318_.jpg
BOOK_VXM8IEHXXG,Thư,"Keigo Higashino, Thu Hiền, ",4.13,1292,264,"Tác phẩm là một áng văn trần trụi ngột ngạt ứa ra từ người tù sau song sắt.Lâu nay, nếu có giai thoại gì về người tù, thì đó thường là một người tù kiên trì, có thành tựu.Ví như kiên trì rèn sức khi bị giam, và tạo ra một giáo trình thể hình hiệu quả…Ví như chịu khó đa dạng hóa cách vượt ngục, dù liên tục bị bắt về…Ví như kiên trì đào tường hàng chục năm ròng, chỉ bằng một cái đục đá…Qua 
Thư
, Keigo cũng đem đến một người tù kiên trì. Suốt 15 năm, bị cầm tù ngày nào, hắn đều cần mẫn tìm cách cầm tù những người ngoài đời ngày ấy, suốt 15 năm.Chuyện bắt đầu khi một thanh niên mới đôi mươi đột nhập tư gia để ăn trộm, ăn trộm xong không về ngay mà ngồi lại xem ti vi, xem đến nỗi giết người.Thật bi kịch!Nhưng phần chìm của bi kịch ấy vẫn còn ở đằng sau, trong áng văn trần trụi ngột ngạt tên 
Thư
 này",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573913458l/48837691._SY475_.jpg
BOOK_SBJG1UGJF6,Thánh Giá Rỗng,"Keigo Higashino, Nguyễn Hải Hà, ",3.91,1270,219,"“Thánh giá rỗng” là câu chuyện xoay quanh hai vụ án mạng tàn khốc trong cùng một gia đình. Ngày 21 tháng 9 của mười một năm về trước, cô bé Manami ngây thơ, vô tội đã bị sát hại tại nhà riêng. Đúng mười một năm sau, mẹ cô bé - Sayoko, cũng bị giết hại dã man trên con đường thuộc quận Koto. Nakahara - một người chồng, một người cha bất hạnh đã hai lần phải cảm nhận nỗi đau mất người thân. Cái chết đầy uẩn khúc của Sayoko đã khiến anh tạm gác lại niềm riêng để bước vào cuộc hành trình tìm kiếm sự thật.Trên con đường tìm lời giải đáp cho mọi thắc mắc của mình, Nakahara vô tình tìm ra mối liên hệ giữa vụ án mạng của vợ anh và một bí mật động trời khác đã được chôn giấu suốt hai mươi mốt năm trời.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631090942l/32319351._SX318_.jpg
BOOK_AJL84ID23F,Ảo Dạ,"Keigo Higashino, Bảo Ngọc, ",3.75,873,160,"Để thoát một khoản nợ, Masaya đã lợi dụng trận động đất kinh hoàng để giết chết ông cậu rồi dàn dựng thành một vụ tai nạn. Nhưng tất cả không qua được mắt Mifuyu, cô gái bí ẩn nhà hàng xóm. Mang theo bí mật của Masaya, Mifuyu cùng anh lên Tokyo, bỏ lại sau lưng một Kyoto hoang tàn sau cơn địa chấn.Song ở nơi đô hội là một chuỗi bi kịch nối tiếp nhau, nơi bóng đen của tội ác trong quá khứ như vũng dầu loang, vĩnh viễn không bao giờ xóa sạch, ngày một lan rộng. Bí ẩn nối liền bí ẩn, mọi người tiếp cận Mifuyu đều gặp chuyện không may, những ai chạm đến quá khứ của cô đều mất tích...Rốt cuộc, cô gái bí ẩn luôn sát cánh bên Masaya trong bóng đêm tăm tối là ai?",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521615917l/39336320._SY475_.jpg
BOOK_XSRQ3H6DAG,流星の絆 [Ryuusei no Kizuna],"Keigo Higashino, 東野 圭吾, ",4.11,618,71,There is no description.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360319743l/3190020.jpg
BOOK_N5M2VM90G2,Hoa Mộng Ảo,"Keigo Higashino, H.M, ",3.66,1120,192,"Một ngày thu, viên cảnh sát trẻ Shinichi trên đường ra ga tàu điện để tới sở làm, gặp một kẻ điên đang tàn sát nhiều người trên phố. Anh bị hắn dùng kiếm chém chết.Mấy chục năm sau, ông cụ Shuji sống một mình trong căn hộ nhỏ cũng bị giết. Tài sản trong nhà không mất mát gì, trừ một chậu hoa lạ lùng không có tên.Quyết làm rõ nguyên nhân cái chết của ông nội, Rino kiên nhẫn lần theo từng manh mối vụn vặt, nhiều khi tưởng chừng vô nghĩa, hòng tìm ra bí mật của chậu hoa bị mang đi. Nhưng cô không biết rằng, mình đang vô tình vướng vào một lời nguyền khủng khiếp kéo dài hơn một trăm năm: “kẻ nào theo đuổi loài hoa mộng tưởng, sớm muộn cũng sẽ hủy hoại bản thân mình.”",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491322571l/34797921._SX318_.jpg
BOOK_N593FY7D1H,La Maison où je suis mort autrefois,"Keigo Higashino, Yutaka Makino, ",3.91,765,123,"Sayaka Kurahashi va mal. Mariée à un homme d'affaires absent, mère d'une fillette de trois ans qu'elle maltraite, elle a déjà tenté de mettre fin à ses jours. Et puis il y a cette étonnante amnésie: elle n'a aucun souvenir avant l'âge de cinq ans. Plus étrange encore, les albums de famille ne renferment aucune photo d'elle au berceau, faisant ses premiers pas... Quand, à la mort de son père, elle reçoit une enveloppe contenant une énigmatique clef à tête de lion et un plan sommaire conduisant à une bâtisse isolée dans les montagnes, elle se dit que la maison recèle peut-être le secret de son mal-être. Elle demande à son ancien petit ami de l'y accompagner. Ils découvrent une construction apparemment abandonnée. L'entrée a été condamnée. Toutes les horloges sont arrêtées à la même heure. Dans une chambre d'enfant, ils trouvent le journal intime d'un petit garçon et comprennent peu à peu que cette inquiétante demeure a été le théâtre d'événements tragiques...",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1644850752l/8482583._SY475_.jpg
BOOK_CMRTM6UDAL,Biến Thân,"Keigo Higashino, Cẩm Hương, ",3.72,379,81,"Một thanh niên trung hậu hiền lành, hiền đến nỗi chẳng mấy khi phản đối lời người khác, không may may gặp tai bay vạ gió. Người ta đưa cậu vào bệnh viện, tiến hành một ca phẫu thuật lần đầu tiên xuất hiện trên thế giới.Ra viện, thanh niên trở lại với công việc, với người yêu dịu dàng. Nhưng cậu không còn hiền lành, trung hậu, cũng không nín nhịn nữa. Cậu trở nên hung hãn, bản năng và thú vật. Giữa những phút tỉnh táo hiếm hoi, thanh niên thống khổ đi tìm lại bản thân trước kia, bấy giờ mới biết người ta đã làm gì mình trong ca phẫu thuật…",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594254289l/54447344._SY475_.jpg
BOOK_8SRV0RHQBO,Trước Khi Nhắm Mắt,"Keigo Higashino, Phương Chi, ",3.41,706,158,"Minae mở to mắt, cố nhìn xem chuyện gì đang diễn ra.Khi ấy, “thứ đó” ở ngay trước mắt cô.“Thứ đó” là bộ hãm xung của ô tô. Cái hãm xung đó đang cố nuốt trọn cơ thể cô... Xương sườn cô gãy răng rắc, dạ dày, nội tạng như đang vỡ tung. Mọi việc diễn biến như thước phim quay chậm. Minae hiểu ra cái ô tô đang cố nghiền nát mình. Sau lưng cô có một bức tường, cô đang bị kẹp giữa ô tô và bức tường đó như nhân bánh sandwich…Một câu chuyện gây ám ảnh về thù hận với ngòi bút sắc bén của tiểu thuyết gia trinh thám lừng danh Nhật Bản Keigo Higashino. Cuốn sách đã được công ty sách Đinh Tị phát hành trong tuần qua Câu chuyện bắt đầu từ một ánh mắt đặc biệt của Minae - ánh mắt cuối cùng của cô gái trẻ trước khi vĩnh viễn nhắm mắt. Minae đã chết trong một vụ tai nạn giao thông, một cái chết khủng bố được Higashino miêu tả cứ như thể chính ông đã trải qua.Trước khi chết, Minae đã phóng ánh nhìn đầy thù hận vào người đã lái xe đâm chết cô, đó là cái nhìn đầy tiếc nuối với cuộc sống, không muốn chấm dứt cuộc đời khi những tháng ngày hiện tại của cô đang ngập tràn hạnh phúc, cái nhìn thể hiện sự căm hận tột cùng với kẻ đã đâm chết mình. Đôi mắt của Minae đã ám ảnh thủ phạm, người lái chiếc xe ô tô, hủy hoại cuộc đời hắn từ giây phút đó và bắt đầu một cuốn tiểu thuyết trinh thám tuyệt vời.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521267289l/39303192._SX318_.jpg
BOOK_UWXO6I2Z67,白夜行 上,"Keigo Higashino, 東野圭吾, 劉姿君, ",4.49,621,30,Traditional Chinese first edition can be found HERE「在我們的頭上沒有太陽，一直都是夜晚，但是卻不覺得黑暗，因為有能代替太陽的人在。」在白夜裡，沒有人性這種東西！一部刻劃童年傷痕的悲傷物語，一個深不見底的惡意深淵，一段至死方休的遁逃之旅，一首燃盡生命的愛情戀歌，以及，永無止境的闃暗白夜……,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341668911l/15740357.jpg
BOOK_K6R6V47ZYA,虚像の道化師 [Kyozo No Dokeshi],"Keigo Higashino, 東野 圭吾, ",3.84,122,21,東野圭吾の代表作、「ガリレオシリーズ」の最新短編集。ビル5階にある新興宗教の道場から、信者の男が転落死した。その場にいた者たちは、男が何かから逃れるように勝手に窓から飛び降りたと証言し、教祖は相手に指一本触れないものの、自分が強い念を送って男を落としてしまったと自首してきた。教祖の“念”は本物なのか? 湯川は教団に赴きからくりを見破る(「幻惑(まどわ)す」)。突然暴れだした男を取り押さえようとして草薙が刺された。逮捕された男は幻聴のせいだと供述した。そして男が勤める会社では、ノイローゼ気味だった部長が少し前に自殺し、また幻聴に悩む女子社員もいた。幻聴の正体は――(「心聴(きこえ)る」)。大学時代の友人の結婚式のために、山中のリゾートホテルにやって来た湯川と草薙。その日は天候が荒れて道が崩れ、麓の町との行き来が出来なくなる。ところがホテルからさらに奥に行った別荘で、夫婦が殺されていると通報が入る。草薙は現場に入るが、草薙が撮影した現場写真を見た湯川は、事件のおかしな点に気づく(「偽装(よそお)う」)。劇団の演出家が殺された。凶器は芝居で使う予定だったナイフ。だが劇団の関係者にはみなアリバイがあった。湯川は、残された凶器の不可解さに着目する(「演技(えんじ)る」)。読み応え充分の4作を収録。湯川のクールでスマートな推理が光る、ガリレオ短編集第4弾。,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381255255l/16298361.jpg
BOOK_A0WTKY518L,Hung khí hoàn mỹ,"Keigo Higashino, Vũ Bích Lệ Thủy, ",3.31,249,69,"Từng là những vận động viên thể thao đã chạm đến đỉnh vinh quang nhưng Anjo Takuma, Niwa Junya, Hiura Yusuke và Sakura Shoko lại cùng nhau chia sẻ một phần quá khứ đáng chôn vùi. Để bảo vệ tương lai của họ, một vụ sát hại đã xảy ra với người biết rõ điều bí mật, cùng mọi dữ liệu liên quan bị tiêu hủy. Kế hoạch tưởng chừng đã êm xuôi và mọi chuyện sẽ mãi mãi chìm vào tro bụi…Nhưng một cái bóng xinh đẹp và tàn bạo, như con nhện độc Tarantula, đang lẩn lút qua các ngõ ngách thành phố, lần lượt tìm đến từng người báo oán...Dồn dập, kinh hoàng, gói ghém những sự thật sửng sốt. Một kiệt tác đầy chất hành động của bậc thầy truyện trinh thám.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1622865876l/58263100._SX318_.jpg
BOOK_BE1RDWLCSH,Black Showman dan Pembunuhan di Kota Tak Bernama,"Keigo Higashino, Milka Ivana, ",3.96,728,209,"Pembunuhan bisa terjadi di mana saja, termasuk di sebuah kota kecil, terpencil, dan nyaris terlupakan di tengah pandemi Covid-19.Seorang mantan guru SMP ditemukan tewas tercekik di halaman rumahnya sendiri. Polisi tidak tahu apakah ini pembunuhan terencana, pembunuhan tak disengaja, atau aksi pencurian yang berakhir dengan pembunuhan. Korban adalah guru yang disegani. Setelah pensiun pun, mantan murid-muridnya sering menghubunginya untuk meminta bantuan atau nasihat. Jadi, tentu saja para mantan muridnya, yang pulang ke kota itu demi menghadiri reuni, termasuk dalam daftar orang-orang yang dicurigai.Polisi kebingungan, dan si pembunuh lega karena identitasnya tidak akan pernah ketahuan.Namun, ia tidak menyangka bahwa putri korban akan muncul bersama pamannya—seorang mantan pesulap eksentrik—dan ikut menyelidiki apa yang sebenarnya terjadi dan mencari tahu siapa yang membunuh Kamio Eiichi.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1639776770l/59842337.jpg
BOOK_KIWTR5ROKV,Đơn phương,"Keigo Higashino, Yên Châu, ",3.94,366,75,"“Tớ đang bị truy lùng.” Mitsuki thở hắt ra một cái.“Hả?” Tetsuro nói. Anh nghĩ mình nghe nhầm ở chỗ nào đó. “Bị truy lùng?”“Đúng vậy, bị truy lùng. Nói chính xác thì giờ này họ đã bắt đầu truy bắt tớ rồi… có lẽ thế.” Mitsuki gật gù tỏ vẻ chắc chắn. “Cảnh sát ấy, việc họ bắt được tớ chỉ còn là vấn đề thời gian thôi. Sau đó mọi chuyện sẽ kết thúc.”“Cảnh sát á? Hiura, cậu…” Tetsuro cảm thấy hoang mang. “Đã làm gì vậy?”“Cậu thật sự muốn biết?”“Tất nhiên.”“Ừ. Tất nhiên nhỉ?” Mitsuki nhún vai rồi nhìn Tetsuro lần nữa. “Tớ phạm tội sát nhân. Tớ đã giết người.”---Một tuyệt tác trinh thám viết về những người bạn thân đã cùng trải qua một thời thanh xuân không bao giờ phản bội nhau. Bức tranh khắc họa hiện thực xã hội, ca ngợi tình bạn, đồng thời là một lời dự đoán cho tương lai. Thân thể là con gái, nhưng tâm hồn là con trai. Đau khổ chịu đựng suốt gần ba mươi năm, đến khi có cơ hội sống đúng với bản chất của mình thì Mitsuki lại vô tình dính vào một vụ giết người ngang trái. Đầu thú hay bỏ trốn? Trước khi đưa ra quyết định cuối cùng, Mitsuki muốn gặp lại những người bạn đại học đã cùng cô chia sẻ tuổi thanh xuân nồng nhiệt. Tetsuro cùng vợ mình, đồng thời là bạn thân của Mitsuki, quyết định giúp đỡ cô, nhưng… Phải chăng khoảng thời gian mười năm đã khiến tình bạn của họ, thậm chí cả bản thân họ, thay đổi? Còn hơn cả một tiểu thuyết trinh thám, ""Đơn phương"" là bức tranh khắc họa hiện thực xã hội, ca ngợi tình bạn, đồng thời là một lời dự đoán cho tương lai. Một lần nữa, tài hoa bậc thầy của Keigo Higashino đã đưa một tác phẩm hay lên tầm tuyệt tác. Keigo Higashino sinh năm 1958 tại Osaka, có thể nói ông là nhà văn trinh thám với nhiều tác phẩm bestseller nhất hiện nay của Nhật Bản. Những tiểu thuyết của Keigo Higashino được chuyển thể thành tác phẩm điện ảnh còn nhiều hơn cả Tom Clancy hay Robert Ladlum, và không thua kém gì Michael Crichton.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577069710l/49748522._SY475_.jpg
